iter	Passed	Remaining
813	9112	2082
814	9121	2070
815	9132	2059
816	9142	2047
817	9152	2036
818	9164	2025
819	9174	2013
820	9183	2002
821	9196	1991
822	9206	1980
823	9216	1968
824	9228	1957
825	9240	1946
826	9250	1935
827	9261	1923
828	9272	1912
829	9281	1901
830	9293	1889
831	9303	1878
832	9312	1866
833	9323	1855
834	9333	1844
835	9345	1833
836	9356	1822
837	9365	1810
838	9376	1799
839	9387	1788
840	9398	1776
841	9409	1765
842	9421	1754
843	9430	1743
844	9442	1732
845	9453	1720
846	9462	1709
847	9473	1698
848	9484	1686
849	9493	1675
850	9504	1664
851	9516	1653
852	9525	1641
853	9537	1630
854	9549	1619
855	9558	1607
856	9569	1596
857	9579	1585
858	9588	1573
859	9601	1563
860	9612	1551
861	9622	1540
862	9634	1529
863	9643	1517
864	9653	1506
865	9665	1495
866	9676	1484
867	9687	1473
868	9699	1462
869	9709	1450
870	9719	1439
871	9731	1428
872	9741	1417
873	9752	1405
874	9763	1394
875	9773	1383
876	9782	1372
877	9793	1360
878	9802	1349
879	9814	1338
880	9828	1327
881	9838	1316
882	9848	1304
883	9860	1293
884	9870	1282
885	9881	1271
886	9893	1260
887	9903	1249
888	9912	1237
889	9924	1226
890	9933	1215
891	9944	1204
892	9955	1192
893	9964	1181
894	9978	1170
895	9989	1159
896	9998	1148
897	10009	1136
898	10019	1125
899	10028	1114
900	10041	1103
901	10051	1092
902	10060	1080
903	10071	1069
904	10080	1058
905	10090	1046
906	10100	1035
907	10109	1024
908	10123	1013
909	10133	1002
910	10142	990
911	10151	979
912	10162	968
913	10173	957
914	10182	945
915	10191	934
916	10203	923
917	10212	912
918	10222	900
919	10232	889
920	10241	878
921	10250	867
922	10260	856
923	10273	845
924	10284	833
925	10293	822
926	10303	811
927	10314	800
928	10323	789
929	10334	777
930	10343	766
931	10352	755
932	10363	744
933	10372	732
934	10382	721
935	10392	710
936	10401	699
937	10416	688
938	10426	677
939	10435	666
940	10444	654
941	10453	643
942	10464	632
943	10473	621
944	10484	610
945	10495	599
946	10504	587
947	10514	576
948	10524	565
949	10533	554
950	10542	543
951	10551	532
952	10563	520
953	10573	509
954	10584	498
955	10595	487
956	10607	476
957	10615	465
958	10626	454
959	10635	443
960	10646	432
961	10657	420
962	10666	409
963	10677	398
964	10687	387
965	10697	376
966	10710	365
967	10721	354
968	10730	343
969	10739	332
970	10748	321
971	10757	309
972	10768	298
973	10777	287
974	10786	276
975	10796	265
976	10806	254
